Lundi,,,,,,
,,,,,,
8:30,-,12:00,  ,"Entrepreneurship, Innovation and Control Systems",  ,A.Davila
,,,,Anthropole 3021,,3 cr. - Automne
,,,,tous les 15 jours - premier cours le 27 septembre 2021,,
8:30,-,12:00,  ,Programming Tools in Data Science,  ,S.Orso
,,,,Anthropole 3174,,6 cr. - Automne
12:30,-,16:00,  ,Digitalisation of Purchasing and B to B Sales,  ,S.Lacoste
,,,,Synathlon 2420,,3 cr. - Automne
,,,,,,
,,,,27 Sept/11-25 Oct/1-15-29 Nov (29 Nov on line) /13 Dec,,
14:15,-,18:00,  ,Heuristic Decision Making Strategies,  ,J.Marewski
,,,,Internef 233,,6 cr. - Automne
14:15,-,18:00,  ,Leadership Development,  ,S.Bendahan
,,,,Extranef 109,,3 cr. - Automne
,,,,,,
,,,,4-11-25 Oct / 1-15-22 Nov / 20 Dec,,
14:15,-,18:00,  ,Supply Chain Management and its Latest Trends,  ,A.Hameri
,,,,Internef 122,,6 cr. - Automne
,,,,,,
Mardi,,,,,,
,,,,,,
8:30,-,12:00,  ,Managerial Decision Making,  ,U.Hoffrage
,,,,Anthropole 2013,,6 cr. - Automne
8:30,-,12:00,  ,Strategic Management Control Systems,  ,A.Davila
,,,,Anthropole 3148,,6 cr. - Automne
10:15,-,12:00,  ,Animal Communication and Parasitism,  ,P.Christe
,,,,Amphipôle 334,,1.5 cr. - Automne
,,,,,,
,,,,Aperiodic - details School of Biology,,
12:30,-,16:00,  ,Business and Society - Corporate Sustainability,  ,H.Strebel
,,,,Anthropole 2106,,6 cr. - Automne
13:15,-,14:00,  ,Major Transition in Evolution,  ,L.Keller
,,,,Amphipôle 334,,1.5 cr. - Automne
,,,,,,
,,,,Aperiodic / Details School of Biology/ first lecture Mo 27Sept,,
14:15,-,18:00,  ,Advanced issues in International and European Tax Law,  ,R.Danon
,,,,Internef 275,,3 cr. - Automne
,,,,,,
,,,,last 7 weeks,,
14:15,-,18:00,  ,Algorithms for Business Intelligence and Digital Marketing,  ,L.Vuillon
,,,,Anthropole 3120,,3 cr. - Automne
,,,,,,
,,,,Last 7 weeks - 1st lecture 9 Nov,,
14:15,-,18:00,  ,Integrated Marketing Communication (MScM),  ,G.Hervet
,,,,Anthropole 2055,,6 cr. - Automne
,,,,,,
Mercredi,,,,,,
,,,,,,
8:30,-,12:00,  ,Fraud and Business Process Analytics,  ,M.Baumgartner
,,,,Amphipôle 321,,3 cr. - Automne
,,,,,,
,,,,Last 7 weeks - 1st lecture 10 Nov,,
8:30,-,12:00,  ,Luxury Marketing,  ,F.Morhart
,,,,Internef 121,,6 cr. - Automne
8:30,-,12:00,  ,Strategy and Development Modes,  ,X.Castaner
,,,,Internef 233,,6 cr. - Automne
8:30,-,12:00,  ,Unethical Decision Making - Advanced,  ,U.Hoffrage
,,,,Anthropole 2055,,3 cr. - Automne
,,,,,,
,,,,Last 7 weeks - 1st lecture 10 Nov,,
10:15,-,12:00,  ,Unethical Decision Making - Basics,  ,G.Palazzo
,,,,Amphimax 410,,3 cr. - Automne
,,,,,,
,,,,"First 7 weeks/22 Sept-13 Oct-3 Nov in classroom, otherwise online",,
14:15,-,18:00,  ,Business Case en Marketing,  ,V.Uhlmann
,,,,Anthropole 3174,,6 cr. - Automne
,,,,,,
,,,,22-29 sept / 20-27 oct / 17 nov / 1 déc,,
14:15,-,18:00,  ,Human Behavior and Evolutionary Inference,  ,C.Efferson
,,,,Internef 129,,6 cr. - Automne
14:15,-,18:00,  ,Individual Behavior in the Digital Environment,  ,T.Schlager
,,,,Anthropole 2055,,6 cr. - Automne
14:15,-,18:00,  ,Stratégies digitales,  ,S.Missonier
,,,,Internef 237,,6 cr. - Automne
17:15,-,19:00,  ,La recherche dans tous ses états,  ,D.Preissmann
,,,,Amphimax 412,,3 cr. - Automne
,,,,,,
Jeudi,,,,,,
,,,,,,
8:30,-,12:00,  ,Datascience for Marketing,  ,T.Schlager
,,,,Cubotron III,,6 cr. - Automne
8:30,-,12:00,  ,Entrepreneurship and Strategy,  ,T.Tsukanova
,,,,Internef 272,,6 cr. - Automne
8:30,-,12:00,  ,Text Mining,  ,M.Boldi
,,,,Anthropole 3032,,6 cr. - Automne
12:30,-,14:00,  ,Business and Human Rights,  ,A.Jasinenko
,,,,Internef 121,,3 cr. - Automne
12:30,-,16:00,  ,Normes comptables internationales (IFRS),  ,A.Bianchi
,,,,Anthropole 2106,,3 cr. - Automne
,,,,tous les 15 jours - premier cours le 30 septembre 2021,,
,,,,A. Bianchi,,
14:15,-,18:00,  ,Behavioral Economics,  ,L.Santos Pinto
,,,,Internef 121,,6 cr. - Automne
14:15,-,18:00,  ,Production Control,  ,O.Gallay
,,,,Anthropole 2128,,3 cr. - Automne
,,,,,,
,,,,First 7 weeks,,
14:15,-,18:00,  ,Risk Analytics,  ,V.Chavez
,,,,Anthropole 2128,,3 cr. - Automne
,,,,,,
,,,,Last 7 weeks,,
,,,,,,
Vendredi,,,,,,
,,,,,,
8:30,-,12:00,  ,Experimental Methods,  ,R.Hakimov
,,,,Anthropole 5021,,6 cr. - Automne
8:30,-,12:00,  ,Global Marketing,  ,T.Eckardt
,,,,Anthropole 3032,,3 cr. - Automne
,,,,,,
,,,,24 Sept / 8-15 Oct / 5-19 Nov / 3-12 Dec,,
8:30,-,12:00,  ,Project in Data Analytics,  ,M.Boldi
,,,,Anthropole 3017,,6 cr. - Automne
8:30,-,10:00,  ,Stratégies légales internationales I,  ,T.Steinmann
,,,,Amphipôle 315,,3 cr. - Automne
10:15,-,12:00,  ,Stratégies légales internationales II,  ,T.Steinmann
,,,,Amphipôle 315,,3 cr. - Automne
12:30,-,16:00,  ,Strategy in Digital Markets,  ,C.Peukert
,,,,Anthropole 3077,,6 cr. - Automne